title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Princess Bride,MOVIE,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",1987,99,"['fantasy', 'family', 'romance']",8.0,21.284,Hulu
The Simpsons,SHOW,The satiric adventures of a working-class family in the misfit city of Springfield.,1989,27,"['animation', 'comedy']",8.7,516.381,Hulu
The Breakfast Club,MOVIE,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",1985,98,"['drama', 'comedy']",7.8,23.351,Hulu
Cheers,SHOW,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,1982,30,"['comedy', 'drama']",7.9,35.256,Hulu
Pretty Woman,MOVIE,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",1990,119,"['comedy', 'romance']",7.1,47.228,Hulu
The Golden Girls,SHOW,"Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends.",1985,30,"['comedy', 'drama']",8.1,28.454,Hulu
Akira,MOVIE,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,1988,124,"['scifi', 'action', 'drama', 'animation', 'fantasy', 'thriller']",8.0,45.959,Hulu
Once Upon a Time in America,MOVIE,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,229,"['drama', 'crime', 'european']",8.3,21.322,Hulu
Dragon Ball,SHOW,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the dragon balls brought her to Goku's home. Together, they set off to find all seven dragon balls in an adventure that would change Goku's life forever. See how Goku met his life long friends Bulma, Yamcha, Krillin, Master Roshi and more. And see his adventures as a boy, all leading up to  Dragonball Z and later  Dragonball GT.",1986,24,"['scifi', 'thriller', 'animation', 'action', 'comedy', 'fantasy']",8.6,16.956,Hulu
The Hitchhiker's Guide to the Galaxy,SHOW,"Don't Panic! The story of Arthur Dent, an average Englishman who life was spared by his friend, who turned out to be an alien, while the planet Earth is destroyed. His friend tells him about the Hitchhiker's Guide to the Galaxy, a guide with anything you ever needed, and wanted to know. They travel across the galaxy, meeting friendly, and not so friendly characters in order to find the great question (the answer being 42).",1981,32,"['scifi', 'comedy', 'fantasy']",8.0,6.655,Hulu
Married... with Children,SHOW,"Al Bundy is an unsuccessful middle aged shoe salesman with a miserable life and an equally dysfunctional family. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",1987,23,"['drama', 'comedy']",5.5,44.537,Hulu
The Wonder Years,SHOW,"The story of Kevin Arnold facing the trials and tribulations of youth while growing up during the 1960s and 70s. Told through narration from an adult Kevin, Kevin faces the difficulties of maintaining relationships and friendships on his enthralling journey into adulthood.",1988,25,"['comedy', 'drama', 'romance', 'family']",8.4,52.372,Hulu
Mr. Bean,SHOW,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.,1990,21,"['comedy', 'family', 'european']",8.6,31.763,Hulu
"Beverly Hills, 90210",SHOW,"Follow the lives of a group of teenagers living in the upscale, star-studded community of Beverly Hills, California and attending the fictitious West Beverly Hills High School and, subsequently, the fictitious California University after graduation.",1990,47,"['drama', 'romance']",6.4,48.915,Hulu
Peggy Sue Got Married,MOVIE,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",1986,99,"['fantasy', 'romance', 'comedy', 'drama']",6.4,8.256,Hulu
Wings,SHOW,Brothers Brian and Joe Hackett attempt to run an airline on the New England island of Nantucket while surrounded by their various wacky friends and employees.,1990,22,"['drama', 'comedy']",7.3,14.293,Hulu
St. Elmo's Fire,MOVIE,"A group of friends graduate from the halls of Georgetown University into lives that revolve around sex, paychecks, and career aspirations. Kirby waits tables to pay for law school. His roommate Kevin struggles at a D.C. newspaper as he lusts after the stylish Jules. Jules may be an object of adoration and envy, but secretly she has problems of her own. Demure Wendy is in love with Billy—a sax player and an irresponsible drunk. Alex wants it all: a career in politics and the appearance of a traditional home life. Alex's girlfriend, Leslie, is an ambitious architect who doesn't know about his infidelity, but his new allegiance to the Republican Party is already enough to put her off marriage.",1985,110,"['drama', 'comedy', 'romance']",6.3,12.614,Hulu
Blackadder,SHOW,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.",1983,30,"['comedy', 'european']",8.0,21.242,Hulu
ThunderCats,SHOW,"The inhabitants of the planet Thundera evacuate just before it is destroyed. They were pursued by a band of mutants. All but one of their escape ships was destroyed. Only a small group of Thunderans (Thundercats) remained. With only half engine power, the group, which was led by Jaga, had to set a course for the nearest planet. Jaga commanded their ship while the other seven were in their stasis tubes. Jaga died on their journey to Third Earth and their ship crashed there. Soon they made friends with various groups in the area and they designed a fortress. Mumm-Ra the centuries-old embodiment of evil, along with the mutants that destroyed the rest of the Thunderans are a constant threat. But Lion-O, the new leader of the Thundercats, with his weapon the ""Sword of Omens"" will help the Thundercats to have a standing chance.",1985,23,"['scifi', 'action', 'family', 'fantasy', 'animation']",7.9,28.149,Hulu
Can't Buy Me Love,MOVIE,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",1987,94,"['comedy', 'romance', 'drama']",6.7,13.144,Hulu
America's Funniest Home Videos,SHOW,America's Funniest Home Videos is the longest-running primetime entertainment show in ABC history. Each week AFV shines the spotlight on hilarious videos. Fans tune in to witness failures and fiascos and to submit their own mishaps for their chance at stardom.,1989,49,"['family', 'reality', 'comedy']",6.2,18.117,Hulu
Unsolved Mysteries,SHOW,"Combines four to five segments of dramatic re-enactments, interviews and updates of real human and paranormal mysteries. An audience interactive call-to-action request allowed viewers to call in with tips to help solve the cases.",1987,53,"['drama', 'thriller', 'crime', 'documentation']",8.2,7.323,Hulu
Baywatch,SHOW,Join the Baywatch lifeguards on their thrilling adventures filled with beautiful beaches and those iconic red swimsuits.,1989,46,"['action', 'drama', 'crime', 'romance']",5.3,59.02,Hulu
Designing Women,SHOW,"Julia Sugarbaker, Mary Jo Shively, Charlene Frazier-Stillfield and Suzanne Sugarbaker are associates at their design firm, Sugarbaker and Associates. Julia is the owner and is very outspoken and strong-willed. Mary Jo is a divorced single-parent whom is just as strong-willed as Julia, but isn't as self-confident. Charlene is the naive and trusting farm girl from Poplar Bluff, Missouri. Suzanne is the self-centered ex-beauty queen whom has a number of wealthy ex-husbands.",1986,25,['comedy'],7.2,10.263,Hulu
The Joy of Painting,SHOW,"The Joy of Painting was an American television show hosted by painter Bob Ross that taught its viewers techniques for landscape oil painting. Although Ross could complete a painting in half an hour, the intent of the show was not to teach viewers ""speed painting"". Rather, he intended for viewers to learn certain techniques within the time that the show was allotted. The show began on January 11, 1983, and lasted until May 17, 1994, a year before Ross' death.",1983,25,"['documentation', 'family']",9.3,15.984,Hulu
Whose Line Is It Anyway?,SHOW,"An un-scripted comedy show in which four guest performers improvise their way through a series of games, many of which rely on audience suggestions.",1988,23,['comedy'],8.2,6.626,Hulu
Roxanne,MOVIE,"Based on the play 'Cyrano de Bergerac', large-nosed C.D. Bales falls for the beautiful Roxanne—while she falls for his personality but another man's looks.",1987,107,"['comedy', 'romance']",6.6,11.803,Hulu
St. Elsewhere,SHOW,"St. Elsewhere is an American medical drama television series that originally ran on NBC from October 26, 1982 to May 25, 1988. The series starred Ed Flanders, Norman Lloyd and William Daniels as teaching doctors at a lightly-regarded Boston hospital who gave interns a promising future in making critical medical and life decisions. The series was produced by MTM Enterprises, which had success with a similar NBC series, the police drama Hill Street Blues, during that same time; both series were often compared to each other for their use of ensemble casts and overlapping serialized storylines. St. Elsewhere was filmed at CBS/MTM Studios, which was known as CBS/Fox Studios when the show began; coincidentally, 20th Century Fox wound up acquiring the rights to the series when it bought MTM Enterprises in the 1990s.

Known for its combination of gritty, realistic drama and moments of black comedy, St. Elsewhere gained a small yet loyal following over its 6-season, 137-episode run; the series also found a strong audience in Nielsen's 18-49 age demographic, a young demo later known for a young, affluent audience that TV advertisers are eager to reach. The series also earned critical acclaim during its run, earning 13 Emmy Awards for its writing, acting, and directing. St. Elsewhere was ranked #20 on TV Guide's 2002 list of ""The 50 Greatest TV Shows of All Time."", with the magazine also selecting it as the best drama series of the 1980s in a 1993 issue.",1982,52,"['drama', 'comedy']",8.0,15.791,Hulu
Saved by the Bell,SHOW,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,23,"['comedy', 'romance', 'family']",7.1,16.945,Hulu
Hill Street Blues,SHOW,A realistic glimpse into the daily lives of the officers and detectives at an urban police station.,1981,49,"['drama', 'crime']",8.2,28.323,Hulu
Look Who's Talking,MOVIE,"Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late.",1989,93,['comedy'],5.9,12.165,Hulu
Ranma ½,SHOW,"Saotome Ranma, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns in to a girl, and a cute, well-built red-head at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Tendo Akane, a girl who hates boys.",1989,24,"['scifi', 'action', 'romance', 'animation', 'comedy', 'fantasy']",8.2,65.102,Hulu
Tiny Toon Adventures,SHOW,Follow the adventures of a group of young cartoon characters who attend the Acme Looniversity to become the next generation of characters from the Looney Tunes series.,1990,22,"['family', 'romance', 'animation', 'scifi', 'comedy', 'fantasy']",7.5,11.25,Hulu
Postcards From the Edge,MOVIE,"Substance-addicted Hollywood actress, Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who still treats her like a child. Despite these and other problems, Suzanne begins to see the funny side of her situation, and also realises that not only do daughters have mothers—mothers do too.",1990,101,"['drama', 'comedy']",6.7,6.917,Hulu
Blind Date,MOVIE,"When bachelor Walter Davis is set up with his sister-in-law's pretty cousin, Nadia Gates, a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted, tells him not to let Nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David relentlessly follows them around town.",1987,95,"['comedy', 'romance']",5.9,11.472,Hulu
"Doogie Howser, M.D.",SHOW,"Doogie Howser, M.D. is an American television comedy-drama starring Neil Patrick Harris as a teenage physician who also faces the problems of being a normal teenager. Creators Steven Bochco and David E. Kelley, partnering with ABC, aired the show from 1989 to 1993 for four seasons totaling 97 episodes.",1989,23,"['comedy', 'drama', 'family']",6.5,9.35,Hulu
Tough Guys,MOVIE,"Harry Doyle and Archie Lang are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. and soon realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt.",1986,104,"['crime', 'comedy']",6.2,10.521,Hulu
Spaced Invaders,MOVIE,"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously.",1990,100,"['scifi', 'comedy']",5.3,3.746,Hulu
Three Fugitives,MOVIE,"On his first day after being released from jail for 14 armed bank robberies, Lucas finds himself caught up in someone else's robbery. Perry has decided to hold up the local bank to raise money so that he can keep his daughter, Meg, and get her the treatment she needs. Dugan, a detective, assumes Lucas helped plan the robbery, and hence Lucas, Perry and Meg become three fugitives.",1989,96,"['comedy', 'action']",6.2,9.45,Hulu
America's Most Wanted,SHOW,"America's Most Wanted is an American television program produced by 20th Television, and was the longest-running program of any kind in the history of the Fox Television Network until it was announced on May 16, 2011 that the series was canceled after twenty-three years, with the final episode airing on June 18, 2011. The following September, America's Most Wanted's host, John Walsh, announced that the program would resume on the cable network Lifetime later that year.

Presented by Walsh, the show's purpose is to profile and assist law enforcement in the apprehension of fugitives wanted for numerous crimes, including murder, rape, kidnapping, child molestation, white-collar crime, organized crime, armed robbery, gang violence, and terrorism, and also many of whom are currently on the FBI Ten Most Wanted Fugitives list. On May 2, 2008, the program's website announced its 1,000th capture; as of March 30, 2013, 1,202 people have been captured because of AMW. Many of the series' cases have some connection outside the United States or have not taken place in the United States at all. The series' first international capture was in Nova Scotia in 1989.

The show's nature does not allow repeats, except for updates on convicted criminals, and is preempted a maximum of eight times during the year; however, if a fugitive featured on the show is not captured, their profile may be aired again. However, since moving to Lifetime, the show aired several repeats with updates if the fugitive/missing person was captured/recovered.",1988,60,"['documentation', 'crime', 'drama']",7.2,5.578,Hulu
A Very Brady Christmas,MOVIE,"Almost 20 years after the start of the original ""Brady Bunch"" the kids are grown up and have kids of their own. Everyone is having a wonderful time back at the family house for Christmas, until Mike learns of a structural problem in one of the buildings he designed. As he is inspecting the problem, the building collapses, trapping him inside. As the whole family waits by the pile of rubble, they fear the worst. Will Dad be all right?",1988,100,"['drama', 'comedy', 'family']",5.8,3.122,Hulu
The Dream Is Alive,MOVIE,"The Dream Is Alive takes you into space alongside the astronauts on the space shuttle. Share with them the delights of zero gravity while working, eating and sleeping in orbit around the Earth. Float as never before over the towering Andes, the boot of Italy, Egypt and the Nile. Witness firsthand a tension-filled satellite capture and repair and the historic first spacewalk by an American woman.",1985,37,['documentation'],,1.621,Hulu
Hail Columbia!,MOVIE,"The maiden voyage of Columbia, the first space shuttle, is recounted with footage shot on the ground and in space.",1982,37,['documentation'],,0.947,Hulu
Family Guy,SHOW,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",1999,24,"['comedy', 'animation']",8.2,220.435,Hulu
The X-Files,SHOW,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",1993,45,"['crime', 'scifi', 'drama', 'thriller']",8.6,111.378,Hulu
Survivor,SHOW,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,48,['reality'],7.4,73.107,Hulu
Futurama,SHOW,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",1999,23,"['animation', 'comedy', 'scifi', 'action']",8.5,142.009,Hulu
Buffy the Vampire Slayer,SHOW,"Into every generation a slayer is born: one girl in all the world, a chosen one. She alone will wield the strength and skill to fight the vampires, demons, and the forces of darkness; to stop the spread of their evil and the swell of their number. She is the Slayer.",1997,52,"['scifi', 'drama', 'fantasy', 'romance', 'action']",8.3,50.995,Hulu
Dazed and Confused,MOVIE,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",1993,102,"['drama', 'comedy']",7.6,12.536,Hulu
Pokémon,SHOW,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",7.6,138.135,Hulu
Malcolm in the Middle,SHOW,"Malcolm in the Middle is an American television sitcom created by Linwood Boomer for the Fox Broadcasting Company. The series was first broadcast on January 9, 2000; it ended its six year run on May 14, 2006 after seven seasons and 151 episodes. The series received critical acclaim and won a Peabody Award, seven Emmy Awards, one Grammy Award, and was nominated for seven Golden Globes.

The series follows a family of six, and stars Frankie Muniz in the lead role of Malcolm, a more-or-less normal boy who tests at genius level. He enjoys being smart, but he despises having to take classes for gifted children, who are mocked by the other students who call them ""Krelboynes"", a reference to the nerdy Seymour Krelboyne from The Little Shop of Horrors. Jane Kaczmarek is Malcolm's overbearing, authoritarian mother, Lois, and Bryan Cranston plays his disengaged but loving father Hal. Christopher Masterson plays eldest brother Francis, a former rebel who, in earlier episodes, was in military school, but eventually marries and settles into a steady job. Justin Berfield is Malcolm's dimwitted older brother Reese, a schoolyard bully who tortures Malcolm at home even while he defends him at school. Younger brother Dewey, genius musician, is portrayed by Erik Per Sullivan. For the first several seasons, the show's focus was on Malcolm. As the series progressed, however, it began to explore all six members of the family rather equally. A fifth son—Jamie—was introduced as a baby towards the middle of the series.",2000,23,"['family', 'comedy', 'drama']",8.1,140.2,Hulu
Frasier,SHOW,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",1993,25,['comedy'],8.2,78.118,Hulu
King of the Hill,SHOW,"Set in Texas, this animated series follows the life of propane salesman Hank Hill, who lives with his overly confident substitute Spanish teacher wife Peggy, wannabe comedian son Bobby, and naive niece Luanne. Hank has conservative views about God, family, and country, but his values and ethics are often challenged by the situations he, his family, and his beer-drinking neighbors/buddies find themselves in.",1997,23,"['drama', 'comedy', 'animation']",7.4,40.291,Hulu
Pride and Prejudice,SHOW,"Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth.",1995,52,"['drama', 'romance']",8.9,40.669,Hulu
Law & Order: Special Victims Unit,SHOW,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",1999,46,"['crime', 'drama', 'thriller']",8.1,451.723,Hulu
One Piece,SHOW,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",8.8,105.955,Hulu
Freaks and Geeks,SHOW,"High school mathlete Lindsay Weir rebels and begins hanging out with a crowd of burnouts (the ""freaks""), while her brother Sam Weir navigates a different part of the social universe with his nerdy friends (the ""geeks"").",1999,44,"['drama', 'comedy']",8.7,24.481,Hulu
Cowboy Bebop,SHOW,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",8.9,34.769,Hulu
